time_signature;track_popularity;speechiness;danceability;playlist_name;track_artist;duration_ms;energy;playlist_genre;playlist_subgenre;track_href;track_name;music_mode;uri;music_type;track_album_release_date;analysis_url;id;instrumentalness;track_album_id;playlist_id;track_id;valence;music_key;tempo;loudness;acousticness;liveness;track_album_name
3;53;537;519;Jazz Classics;Gene Ammons;252947;422;jazz;classic;https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn;My Romance - Remastered 2006;1;spotify:track:6rK27cC9hX0e1Chrnxo9Vn;audio_features;2006-03-21;https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn;6rK27cC9hX0e1Chrnxo9Vn;929;04l5TDoVZFNPvExGNdVjOj;37i9dQZF1DXbITWG1ZJKYt;6rK27cC9hX0e1Chrnxo9Vn;397;1;130436;-10778;966;124;Boss Tenor (RVG Remasters / Remastered 2006)
4;53;569;659;Jazz Classics;Coleman Hawkins;182360;113;jazz;classic;https://api.spotify.com/v1/tracks/2xm9ihELo6xwrRKrBbPql9;Body and Soul;0;spotify:track:2xm9ihELo6xwrRKrBbPql9;audio_features;1996-05-21;https://api.spotify.com/v1/audio-analysis/2xm9ihELo6xwrRKrBbPql9;2xm9ihELo6xwrRKrBbPql9;88;6Ieo4Lrku0sQ63Pd9G8j3L;37i9dQZF1DXbITWG1ZJKYt;2xm9ihELo6xwrRKrBbPql9;738;10;95063;-16756;976;179;Body & Soul
4;52;336;505;Jazz Classics;Stanley Turrentine;295200;159;jazz;classic;https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks;Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition;0;spotify:track:7ysmJhXFQtiBQlk6EZ6sks;audio_features;2007-01-01;https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks;7ysmJhXFQtiBQlk6EZ6sks;127;21YbbJrVCRQIxB5W2EKIbr;37i9dQZF1DXbITWG1ZJKYt;7ysmJhXFQtiBQlk6EZ6sks;196;7;59385;-11235;946;212;Look Out! (Remastered)
4;50;336;517;Jazz Classics;Esbjörn Svensson Trio;267173;917;jazz;classic;https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9;Where We Used to Live;1;spotify:track:72PqmnVj86bfTnkFiQ9Mx9;audio_features;2006-09-22;https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9;72PqmnVj86bfTnkFiQ9Mx9;629;1FXFyWXLIdOVgjR0MaRa9y;37i9dQZF1DXbITWG1ZJKYt;72PqmnVj86bfTnkFiQ9Mx9;836;0;95068;-18395;876;108;Tuesday Wonderland
4;49;331;412;Jazz Classics;Roy Hargrove;372493;195;jazz;classic;https://api.spotify.com/v1/tracks/1czzmAtPTw287TyMQEfCfg;Ruby My Dear;1;spotify:track:1czzmAtPTw287TyMQEfCfg;audio_features;1994-08-16;https://api.spotify.com/v1/audio-analysis/1czzmAtPTw287TyMQEfCfg;1czzmAtPTw287TyMQEfCfg;709;1OGhqJimAFVAtyX7PKbakD;37i9dQZF1DXbITWG1ZJKYt;1czzmAtPTw287TyMQEfCfg;778;8;133918;-10288;9;106;Approaching Standards
4;49;6;417;Jazz Classics;John Coltrane;287844;42;jazz;classic;https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2;Giant Steps - 2020 Remaster;0;spotify:track:1ZXu0ib26kWfQQngREMcU2;audio_features;2020-09-18;https://api.spotify.com/v1/audio-analysis/1ZXu0ib26kWfQQngREMcU2;1ZXu0ib26kWfQQngREMcU2;111;4jTDjHLMFCHWrjuP1qmCf4;37i9dQZF1DXbITWG1ZJKYt;1ZXu0ib26kWfQQngREMcU2;517;0;147143;-13046;186;185;Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster]
4;49;627;517;Jazz Classics;Dave Brubeck;354573;273;jazz;classic;https://api.spotify.com/v1/tracks/1GZD0TZJHmdQaZsucHBmWT;Besame Mucho;0;spotify:track:1GZD0TZJHmdQaZsucHBmWT;audio_features;2001-04-02;https://api.spotify.com/v1/audio-analysis/1GZD0TZJHmdQaZsucHBmWT;1GZD0TZJHmdQaZsucHBmWT;774;5LiPzuR79DTTmyROUm2luC;37i9dQZF1DXbITWG1ZJKYt;1GZD0TZJHmdQaZsucHBmWT;321;10;63423;-17279;866;979;On Time
3;49;321;477;Jazz Classics;Mary Lou Williams;280481;237;jazz;classic;https://api.spotify.com/v1/tracks/2qswPLZD9CbUoSidGNyxwm;It Ain't Necessarily So;0;spotify:track:2qswPLZD9CbUoSidGNyxwm;audio_features;2016-04-15;https://api.spotify.com/v1/audio-analysis/2qswPLZD9CbUoSidGNyxwm;2qswPLZD9CbUoSidGNyxwm;901;6VflpBTIdO5wvutZII2Grw;37i9dQZF1DXbITWG1ZJKYt;2qswPLZD9CbUoSidGNyxwm;178;4;126222;-17115;947;974;Gilles Peterson - Magic Peterson Sunshine
4;60;446;234;Classical Essentials;Johann Sebastian Bach, Lang Lang;139307;126;classical;essential;https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU;The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude;1;spotify:track:4SFBV7SRNG2e2kyL1F6kjU;audio_features;2019-03-29;https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU;4SFBV7SRNG2e2kyL1F6kjU;896;1XORY4rQNhqkZxTze6Px90;37i9dQZF1DWWEJlAGA9gs0;4SFBV7SRNG2e2kyL1F6kjU;216;0;133998;-25427;989;102;Piano Book (Deluxe Edition)
3;63;446;289;Classical Essentials;Ludwig van Beethoven, Igor Levit;212067;306;classical;essential;https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS;"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""";0;spotify:track:3zLTPuucd3e6TxZnu2dlVS;audio_features;2015;https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS;3zLTPuucd3e6TxZnu2dlVS;911;230jpjk9w7MGupNMMvXoaN;37i9dQZF1DWWEJlAGA9gs0;3zLTPuucd3e6TxZnu2dlVS;118;9;12561;-3079;987;102;Für Elise, Bagatelle No. 25 in A Minor, WoO 59
3;65;442;169;Classical Essentials;Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott;174267;161;classical;essential;https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO;The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano);0;spotify:track:0jOnZhF75V68VsBObWx2XO;audio_features;2015-09-18;https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO;0jOnZhF75V68VsBObWx2XO;86;2y85NsbsBnGTXcXgHpj3PD;37i9dQZF1DWWEJlAGA9gs0;0jOnZhF75V68VsBObWx2XO;573;9;128143;-31034;986;805;Songs from the Arc of Life
3;63;606;939;Classical Essentials;George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields;207267;336;classical;essential;https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC;Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande;0;spotify:track:1upQiytDIEZfl9ItruoXuC;audio_features;2002;https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC;1upQiytDIEZfl9ItruoXuC;83;657D9POYWMrDMK9MWNxPHL;37i9dQZF1DWWEJlAGA9gs0;1upQiytDIEZfl9ItruoXuC;516;2;67359;-24041;927;954;Handel Sarabande
5;65;455;32;Classical Essentials;Claude Debussy, Alice Sara Ott;294960;501;classical;essential;https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB;Suite bergamasque, L. 75: III. Clair de lune;1;spotify:track:1cmigB9I6IRpFqjIbzvSQB;audio_features;2018-07-27;https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB;1cmigB9I6IRpFqjIbzvSQB;919;4Ll3RGpn0eVY6MMKPTP99C;37i9dQZF1DWWEJlAGA9gs0;1cmigB9I6IRpFqjIbzvSQB;383;1;68947;-33366;993;618;Debussy: Suite bergamasque, L. 75, 3. Clair de lune
