NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
BOCA DO ACRE,AM,707.9130068988726,Alto Repasse
EREBANGO,RS,695.5823863636364,Alto Repasse
PARARI,PB,650.5019455252918,Baixo Repasse
PUTINGA,RS,638.4848484848485,Baixo Repasse
MONDAI,SC,590.4736842105264,Baixo Repasse
VARGEAO,SC,610.6582278481013,Baixo Repasse
TUNAS,RS,649.3333333333334,Baixo Repasse
SAO PEDRO DO BUTIA,RS,621.3934426229508,Baixo Repasse
JEQUITIBA,MG,648.1986863711002,Baixo Repasse
PEROLA D'OESTE,PR,635.7029288702929,Baixo Repasse
LAGO VERDE,MA,705.666149068323,Alto Repasse
BELA VISTA DO TOLDO,SC,631.3833780160858,Baixo Repasse
PAO DE ACUCAR,AL,683.9477391501931,Alto Repasse
AGUIA BRANCA,ES,690.1967545638945,Alto Repasse
NOVO AIRAO,AM,730.9241486068112,Alto Repasse
PIRANGUCU,MG,650.3644859813085,Baixo Repasse
CAPOEIRAS,PE,685.2535460992908,Alto Repasse
BALNEARIO GAIVOTA,SC,689.556179775281,Alto Repasse
MURUTINGA DO SUL,SP,645.6232294617564,Baixo Repasse
ARAPORA,MG,684.1345755693582,Alto Repasse
APORE,GO,688.9452887537994,Alto Repasse
TOMBOS,MG,640.1530190239868,Baixo Repasse
PLACIDO DE CASTRO,AC,691.5143796220214,Alto Repasse
DOURADOS,MS,682.438483495572,Alto Repasse
ARIRANHA,SP,617.8609271523179,Baixo Repasse
CAMPO VERDE,MT,644.1547911547912,Baixo Repasse
TEODORO SAMPAIO,BA,623.2359382777502,Baixo Repasse
NOVA OLINDA DO MARANHAO,MA,714.4620235024362,Alto Repasse
MOTUCA,SP,635.7428571428571,Baixo Repasse
CAIBI,SC,646.2777777777778,Baixo Repasse
IBIRACI,MG,699.6082578046324,Alto Repasse
PETROLANDIA,SC,691.3061224489796,Alto Repasse
ALVARENGA,MG,641.9655712050078,Baixo Repasse
SEVERIANO DE ALMEIDA,RS,683.2931034482758,Alto Repasse
ROCA SALES,RS,682.2760416666666,Alto Repasse
ITAPECERICA,MG,619.6197424892704,Baixo Repasse
SAO FIDELIS,RJ,637.3870283018867,Baixo Repasse
FORMOSA DA SERRA NEGRA,MA,698.5681615681616,Alto Repasse
ANTONIO CARLOS,MG,648.2497616777883,Baixo Repasse
SAO PEDRO DO SUACUI,MG,636.482163406214,Baixo Repasse
MARAA,AM,823.3019150209456,Alto Repasse
JARDINOPOLIS,SP,694.543165467626,Alto Repasse
AJURICABA,RS,634.7850162866449,Baixo Repasse
VIRGINOPOLIS,MG,593.6738197424893,Baixo Repasse
UBAJARA,CE,683.7241222070223,Alto Repasse
GOVERNADOR CELSO RAMOS,SC,686.9945115257958,Alto Repasse
SANTA ROSA DE VITERBO,SP,647.5626767200754,Baixo Repasse
UNIFLOR,PR,629.9225352112676,Baixo Repasse
AGUA CLARA,MS,699.5478589420655,Alto Repasse
IPIXUNA DO PARA,PA,710.793739867814,Alto Repasse
CATU,BA,635.9893689651809,Baixo Repasse
SANTO ANTONIO DE JESUS,BA,641.9701712521056,Baixo Repasse
HIDROLANDIA,GO,690.1990888382688,Alto Repasse
SAO VALENTIM,RS,597.5227272727273,Baixo Repasse
PIUMA,ES,685.1644710578843,Alto Repasse
CONDE,PB,681.8648158228997,Alto Repasse
ITABELA,BA,680.1433054393306,Alto Repasse
SILVEIRAS,SP,689.7836363636363,Alto Repasse
