NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
CIRIACO,RS,686.99173553719,Alto Repasse
FERNANDES TOURINHO,MG,648.2163265306123,Baixo Repasse
MAIRI,BA,649.7764520486268,Baixo Repasse
MARAPOAMA,SP,643.4715909090909,Baixo Repasse
PENALVA,MA,711.9261203585147,Alto Repasse
CRISTIANOPOLIS,GO,696.4740740740741,Alto Repasse
QUEBRANGULO,AL,686.041107041107,Alto Repasse
MAE DO RIO,PA,688.9191961191962,Alto Repasse
VITORIA DE SANTO ANTAO,PE,648.4978890728477,Baixo Repasse
BOA VISTA DO BURICA,RS,681.6746987951807,Alto Repasse
BURITIZAL,SP,642.6925373134328,Baixo Repasse
IRAJUBA,BA,680.9862385321101,Alto Repasse
SAO TOME,PR,625.2380952380952,Baixo Repasse
SANTA RITA DO SAPUCAI,MG,644.9388379204893,Baixo Repasse
SAO SEBASTIAO DA BELA VISTA,MG,649.4817518248175,Baixo Repasse
GRAVATA,PE,647.4821607907395,Baixo Repasse
TUNAS DO PARANA,PR,697.1372549019608,Alto Repasse
IMBAU,PR,646.1158088235294,Baixo Repasse
CURURUPU,MA,682.8160165688644,Alto Repasse
LAGOA DO TOCANTINS,TO,737.0307692307692,Alto Repasse
SAO DOMINGOS DO AZEITAO,MA,712.7886133032695,Alto Repasse
ESTRELA DALVA,MG,680.103305785124,Alto Repasse
ITUIUTABA,MG,639.3408628031846,Baixo Repasse
DOURADOQUARA,MG,638.8173076923077,Baixo Repasse
SAO JOAO DAS DUAS PONTES,SP,602.3815789473684,Baixo Repasse
RUY BARBOSA,RN,648.8610038610038,Baixo Repasse
UCHOA,SP,615.176245210728,Baixo Repasse
PASSABEM,MG,627.1315789473684,Baixo Repasse
PAIAL,SC,697.1315789473684,Alto Repasse
MATINHOS,PR,680.3277520484503,Alto Repasse
PORTO DE MOZ,PA,740.8022922636103,Alto Repasse
JANUARIO CICCO,RN,681.4217142857143,Alto Repasse
MATO CASTELHANO,RS,692.4971428571429,Alto Repasse
ARAPUA,MG,620.1418439716313,Baixo Repasse
PRADOS,MG,650.6606425702811,Baixo Repasse
ARENOPOLIS,GO,640.8882978723404,Baixo Repasse
ALTO BOA VISTA,MT,769.5780346820809,Alto Repasse
ITAIOPOLIS,SC,645.3363095238095,Baixo Repasse
MOIPORA,GO,617.248322147651,Baixo Repasse
ITAPUCA,RS,604.9594594594595,Baixo Repasse
CAMUTANGA,PE,681.5969788519637,Alto Repasse
DIORAMA,GO,647.4551282051282,Baixo Repasse
TRES ARROIOS,RS,611.0,Baixo Repasse
SAPIRANGA,RS,697.4118843199277,Alto Repasse
ITAPUA DO OESTE,RO,703.6532258064516,Alto Repasse
POCO DANTAS,PB,647.7940414507772,Baixo Repasse
CURRAIS,PI,680.4494382022472,Alto Repasse
ARANDU,SP,686.7905405405405,Alto Repasse
PAIVA,MG,632.9944444444444,Baixo Repasse
SAO LUIS DO PARAITINGA,SP,650.4279661016949,Baixo Repasse
CAREIRO,AM,710.2497405741958,Alto Repasse
RIBEIRA DO AMPARO,BA,681.8567885926844,Alto Repasse
BOA VISTA DO CADEADO,RS,648.0459770114943,Baixo Repasse
LUTECIA,SP,628.65625,Baixo Repasse
TERRA ROXA,PR,693.2149837133551,Alto Repasse
PORTO ESTRELA,MT,682.2430555555555,Alto Repasse
NOVO PROGRESSO,PA,712.4316750629723,Alto Repasse
APODI,RN,632.4772513756543,Baixo Repasse
CAMPO BELO DO SUL,SC,613.9054054054054,Baixo Repasse
ARINOS,MG,640.3062988884315,Baixo Repasse
BELO MONTE,AL,694.2075029308323,Alto Repasse
CANDIDO RODRIGUES,SP,684.1862068965518,Alto Repasse
NOVA RESENDE,MG,736.4663072776281,Alto Repasse
PRESIDENTE JANIO QUADROS,BA,643.7767756482525,Baixo Repasse
TAILANDIA,PA,703.7724700995489,Alto Repasse
SAO GONCALO DO PARA,MG,643.4502617801047,Baixo Repasse
NOVA CANAA PAULISTA,SP,608.3888888888889,Baixo Repasse
SANTA TEREZA DE GOIAS,GO,650.3928571428571,Baixo Repasse
CONCHAL,SP,680.6433990895296,Alto Repasse
CAPIVARI,SP,650.8017156054108,Baixo Repasse
ALTO ALEGRE,RR,745.4450017914726,Alto Repasse
SENTINELA DO SUL,RS,680.4379391100703,Alto Repasse
CAPAO BONITO,SP,650.0396506962473,Baixo Repasse
SALESOPOLIS,SP,684.1982892690513,Alto Repasse
TRES BARRAS,SC,699.2699724517906,Alto Repasse
CHUVISCA,RS,643.5882352941177,Baixo Repasse
CAMETA,PA,706.5751200826899,Alto Repasse
ALTONIA,PR,648.6945668135096,Baixo Repasse
JOSE RAYDAN,MG,638.4033613445379,Baixo Repasse
IGUABA GRANDE,RJ,649.1734947237741,Baixo Repasse
TEIXEIRAS,MG,640.1015228426396,Baixo Repasse
ALFREDO MARCONDES,SP,626.5055350553506,Baixo Repasse
VALENTE,BA,641.6554836178144,Baixo Repasse
PONTALINDA,SP,650.7760617760617,Baixo Repasse
BELEM DO PIAUI,PI,624.6277173913044,Baixo Repasse
PALMARES DO SUL,RS,693.12402551382,Alto Repasse
POCO REDONDO,SE,697.0831091984938,Alto Repasse
NOVA BASSANO,RS,698.3404255319149,Alto Repasse
BELMONTE,SC,636.2268041237113,Baixo Repasse
IPIXUNA,AM,745.123595505618,Alto Repasse
ITABERAI,GO,629.1735197368421,Baixo Repasse
CONCEICAO DAS PEDRAS,MG,683.2375366568915,Alto Repasse
BRODOWSKI,SP,697.1439655172413,Alto Repasse
CAMPOS BELOS,GO,680.2896969696969,Alto Repasse
PEDRINHAS,SE,643.1648418491484,Baixo Repasse
ESTEIO,RS,682.767699569054,Alto Repasse
GENERAL MAYNARD,SE,636.2506738544474,Baixo Repasse
TABAPUA,SP,637.4274061990212,Baixo Repasse
MONTE ALEGRE DO SUL,SP,644.7136563876652,Baixo Repasse
BOM JARDIM,MA,711.5006015037594,Alto Repasse
FERREIRA GOMES,AP,766.8321492007104,Alto Repasse
MILAGRES DO MARANHAO,MA,719.5311764705882,Alto Repasse
TURIACU,MA,707.6173725771715,Alto Repasse
JANDUIS,RN,649.9339875111508,Baixo Repasse
MALHADA DE PEDRAS,BA,630.7351778656126,Baixo Repasse
ABREULANDIA,TO,681.3565573770492,Alto Repasse
SUMIDOURO,RJ,646.6389008158008,Baixo Repasse
GRANJA,CE,680.8447959183674,Alto Repasse
MARIPA DE MINAS,MG,699.3988764044943,Alto Repasse
SENHORA DE OLIVEIRA,MG,640.5384615384615,Baixo Repasse
NOVA CRIXAS,GO,689.8166383701189,Alto Repasse
SAO BERNARDO,MA,690.8055842812823,Alto Repasse
VALE DO SOL,RS,649.0122591943958,Baixo Repasse
BAEPENDI,MG,633.0656292286874,Baixo Repasse
ANDRADAS,MG,628.1642078255292,Baixo Repasse
IMPERATRIZ,MA,682.3507110557704,Alto Repasse
BORRAZOPOLIS,PR,637.0023148148148,Baixo Repasse
URUANA DE MINAS,MG,625.952772073922,Baixo Repasse
SAO JOSE DE PRINCESA,PB,681.1365517241379,Alto Repasse
SANTA RITA DO PARDO,MS,626.4301994301994,Baixo Repasse
BARRA DO RIBEIRO,RS,687.7381546134663,Alto Repasse
SAO JOSE DO CERRITO,SC,633.2297297297297,Baixo Repasse
PEDRANOPOLIS,SP,641.6547619047619,Baixo Repasse
MUNIZ FERREIRA,BA,642.570408825438,Baixo Repasse
AMERICA DOURADA,BA,681.3459138187221,Alto Repasse
OUROESTE,SP,560.9511627906977,Baixo Repasse
VILA BELA DA SANTISSIMA TRINDADE,MT,692.4124438742784,Alto Repasse
BARAO DE COTEGIPE,RS,684.3169398907104,Alto Repasse
BUENO BRANDAO,MG,640.1048951048951,Baixo Repasse
CABECEIRAS,GO,681.5976277372263,Alto Repasse
CAMPOS DE JULIO,MT,632.9362880886426,Baixo Repasse
NOVA AURORA,GO,626.2484848484848,Baixo Repasse
HERVEIRAS,RS,684.0115606936416,Alto Repasse
RIO MARIA,PA,680.3908045977012,Alto Repasse
PEDRO LEOPOLDO,MG,644.8489494605337,Baixo Repasse
RANCHO ALEGRE D'OESTE,PR,631.6234567901234,Baixo Repasse
POMERODE,SC,614.9142857142857,Baixo Repasse
CATUJI,MG,691.5816901408451,Alto Repasse
BERTIOGA,SP,681.5827280064568,Alto Repasse
CIDREIRA,RS,701.5046542553191,Alto Repasse
PORTO LUCENA,RS,692.6086956521739,Alto Repasse
BOM SUCESSO,PB,635.9616935483871,Baixo Repasse
ARAL MOREIRA,MS,682.8578745198464,Alto Repasse
TAMANDARE,PE,685.6941717150617,Alto Repasse
MISSAO VELHA,CE,683.6414780718578,Alto Repasse
NOVA AMERICA,GO,645.0880681818181,Baixo Repasse
PARINTINS,AM,735.5706291097327,Alto Repasse
GUARACIABA DO NORTE,CE,696.4419225634178,Alto Repasse
RONDA ALTA,RS,696.9550949913644,Alto Repasse
LAJEADO GRANDE,SC,682.6268656716418,Alto Repasse
INHUMAS,GO,643.1845172031077,Baixo Repasse
MAREMA,SC,702.4915254237288,Alto Repasse
JUAZEIRO,BA,685.144309252218,Alto Repasse
CAMBIRA,PR,636.6573033707865,Baixo Repasse
CANDOI,PR,622.2611218568666,Baixo Repasse
MINEIROS DO TIETE,SP,649.8404624277457,Baixo Repasse
SANTA TEREZINHA,MT,697.8068043742405,Alto Repasse
NOVA PALMEIRA,PB,642.7257318952235,Baixo Repasse
PONTAL,SP,648.2273593898951,Baixo Repasse
VICOSA,MG,633.3859692006845,Baixo Repasse
ARAPUA,PR,635.0785498489425,Baixo Repasse
JARDIM,MS,701.2841614906832,Alto Repasse
COLORADO,RS,605.140625,Baixo Repasse
SIMONESIA,MG,693.0064079743681,Alto Repasse
BALNEARIO ARROIO DO SILVA,SC,685.6239388794567,Alto Repasse
TEIXEIROPOLIS,RO,644.2837837837837,Baixo Repasse
PRESIDENTE MEDICI,MA,687.4324880054832,Alto Repasse
CARNAUBAIS,RN,649.9781368821293,Baixo Repasse
CORURIPE,AL,693.8776886408557,Alto Repasse
ITUTINGA,MG,612.9185185185186,Baixo Repasse
MERCEDES,PR,592.5764705882353,Baixo Repasse
BARRA DO QUARAI,RS,708.8387755102041,Alto Repasse
ONDA VERDE,SP,621.5412844036697,Baixo Repasse
SAO MIGUEL DO GOSTOSO,RN,650.3440643863179,Baixo Repasse
EIRUNEPE,AM,772.507496592458,Alto Repasse
CONCEICAO DO TOCANTINS,TO,683.0308529945554,Alto Repasse
ARARIPE,CE,683.8443755958056,Alto Repasse
SAO BRAS DO SUACUI,MG,631.6810344827586,Baixo Repasse
PRESIDENTE SARNEY,MA,744.0641806189751,Alto Repasse
BOCAINA,SP,693.6328358208955,Alto Repasse
PEIXE,TO,689.2683142100618,Alto Repasse
ASSAI,PR,589.5795795795796,Baixo Repasse
JUNDIAI DO SUL,PR,641.2619047619048,Baixo Repasse
CAMPESTRE,AL,686.0006273525721,Alto Repasse
VALE DE SAO DOMINGOS,MT,694.3536585365854,Alto Repasse
FRUTUOSO GOMES,RN,648.5303593556382,Baixo Repasse
COQUEIROS DO SUL,RS,682.68,Alto Repasse
CONCEICAO DO JACUIPE,BA,640.663231330268,Baixo Repasse
FRANCISCO BELTRAO,PR,641.4769094138544,Baixo Repasse
CURRAL NOVO DO PIAUI,PI,693.2379182156134,Alto Repasse
CERRO GRANDE DO SUL,RS,685.5831325301205,Alto Repasse
PEIXE-BOI,PA,647.9890377588307,Baixo Repasse
CARANDAI,MG,646.4457547169811,Baixo Repasse
ITINGA DO MARANHAO,MA,691.2871939736347,Alto Repasse
TOCOS DO MOJI,MG,681.9742765273312,Alto Repasse
NORTELANDIA,MT,629.9678638941399,Baixo Repasse
PORTO BARREIRO,PR,633.0666666666667,Baixo Repasse
QUELUZITO,MG,631.5342465753424,Baixo Repasse
LIMOEIRO DO NORTE,CE,646.1490938105551,Baixo Repasse
OURO BRANCO,MG,622.5255102040817,Baixo Repasse
MARECHAL DEODORO,AL,681.4750678978816,Alto Repasse
TIMBIRAS,MA,723.1380761523046,Alto Repasse
SAO MATEUS DO MARANHAO,MA,703.7008219954648,Alto Repasse
JULIO MESQUITA,SP,684.2542735042736,Alto Repasse
ERICO CARDOSO,BA,646.592641261498,Baixo Repasse
ESTREITO,MA,684.1128456735058,Alto Repasse
PARANAVAI,PR,649.4228833953183,Baixo Repasse
SABARA,MG,648.623347524087,Baixo Repasse
TIMON,MA,689.6479847013827,Alto Repasse
CRISSIUMAL,RS,639.8406779661017,Baixo Repasse
JACI,SP,643.343537414966,Baixo Repasse
SANTA VITORIA,MG,649.489705882353,Baixo Repasse
MONTE FORMOSO,MG,683.2230652503794,Alto Repasse
ENCANTADO,RS,698.5405819295559,Alto Repasse
TUCUNDUVA,RS,644.7434554973822,Baixo Repasse
LUZIANIA,GO,680.0452378769824,Alto Repasse
SANTA LUZIA,PB,649.8609148382299,Baixo Repasse
QUARAI,RS,685.2212467076383,Alto Repasse
BETIM,MG,640.4452868334597,Baixo Repasse
CARMOLANDIA,TO,689.4117647058823,Alto Repasse
LAGOA VERMELHA,RS,682.9004641567818,Alto Repasse
TRES COROAS,RS,684.6953642384105,Alto Repasse
IBEMA,PR,628.1498194945848,Baixo Repasse
ESTRELA DO INDAIA,MG,608.0681818181819,Baixo Repasse
SAO FELIX DE MINAS,MG,637.5883575883576,Baixo Repasse
TAQUARA,RS,696.9386120996442,Alto Repasse
AUGUSTO DE LIMA,MG,635.1230158730159,Baixo Repasse
RORAINOPOLIS,RR,695.7237055955421,Alto Repasse
TERESINA DE GOIAS,GO,691.1641961231471,Alto Repasse
PEDRA DO INDAIA,MG,630.0398230088496,Baixo Repasse
JAGUARIPE,BA,645.8983853606028,Baixo Repasse
RIO DOS CEDROS,SC,708.3816793893129,Alto Repasse
RONDON DO PARA,PA,686.1945701357466,Alto Repasse
SAO JOSE DAS MISSOES,RS,641.4889867841409,Baixo Repasse
RERIUTABA,CE,688.5321821036107,Alto Repasse
ITAMBE,PR,597.7121212121212,Baixo Repasse
COTRIGUACU,MT,695.5842245989305,Alto Repasse
CONCEICAO DOS OUROS,MG,647.9816643159379,Baixo Repasse
TAIOBEIRAS,MG,649.3630295250321,Baixo Repasse
RIO DO ANTONIO,BA,638.8827612803702,Baixo Repasse
SAMPAIO,TO,720.3019057171515,Alto Repasse
PORTO ALEGRE DO TOCANTINS,TO,707.3636363636364,Alto Repasse
UMARIZAL,RN,642.825290437891,Baixo Repasse
SAO GONCALO DO RIO PRETO,MG,631.9125,Baixo Repasse
PLANALTINA,GO,688.0931022765885,Alto Repasse
PASSO DO SOBRADO,RS,703.963768115942,Alto Repasse
UNIAO,PI,685.1897155812036,Alto Repasse
POCO VERDE,SE,648.3506321947538,Baixo Repasse
GLAUCILANDIA,MG,646.9425,Baixo Repasse
BENEDITO LEITE,MA,689.5990740740741,Alto Repasse
VILA NOVA DO PIAUI,PI,628.2100538599641,Baixo Repasse
ENGENHEIRO COELHO,SP,642.8538538538538,Baixo Repasse
RIACHO DA CRUZ,RN,641.3123844731978,Baixo Repasse
CAPIVARI DO SUL,RS,684.01593625498,Alto Repasse
CRISTAIS,MG,649.159756097561,Baixo Repasse
BARRA FUNDA,RS,577.4285714285714,Baixo Repasse
SAO PAULO DE OLIVENCA,AM,818.2378728923476,Alto Repasse
ANAPU,PA,712.8320146934162,Alto Repasse
RIBEIRA,SP,648.4244897959184,Baixo Repasse
ATALAIA,AL,683.4677695379349,Alto Repasse
MONCAO,MA,711.024448503583,Alto Repasse
BRITANIA,GO,629.2850356294537,Baixo Repasse
VENTANIA,PR,649.3344671201814,Baixo Repasse
URU,SP,702.6181818181818,Alto Repasse
IEPE,SP,647.0139751552795,Baixo Repasse
ASTORGA,PR,641.3758654797231,Baixo Repasse
ARAPUTANGA,MT,631.9916765755054,Baixo Repasse
MARQUES DE SOUZA,RS,650.8453608247422,Baixo Repasse
CARNAUBEIRA DA PENHA,PE,692.2632091551011,Alto Repasse
RIO PIRACICABA,MG,626.6991150442478,Baixo Repasse
CACIQUE DOBLE,RS,684.1675392670157,Alto Repasse
AGUA SANTA,RS,693.4727891156463,Alto Repasse
SANTA MARIA DO TOCANTINS,TO,684.5714285714286,Alto Repasse
MONTE CASTELO,SP,647.1847389558233,Baixo Repasse
BRAGANCA,PA,687.2069729708338,Alto Repasse
CAJUEIRO,AL,694.4380835380836,Alto Repasse
ABDON BATISTA,SC,642.3055555555555,Baixo Repasse
QUATRO IRMAOS,RS,714.7058823529412,Alto Repasse
JOAO COSTA,PI,649.4290271132377,Baixo Repasse
MANAQUIRI,AM,724.4542467138524,Alto Repasse
JUCURUTU,RN,624.7500771366862,Baixo Repasse
NIQUELANDIA,GO,616.1666035592579,Baixo Repasse
TOBIAS BARRETO,SE,645.6023752969121,Baixo Repasse
PALMINOPOLIS,GO,650.5452380952381,Baixo Repasse
ENTRE RIOS DO OESTE,PR,649.0169491525423,Baixo Repasse
CANTANHEDE,MA,685.8315789473684,Alto Repasse
RITAPOLIS,MG,618.1733333333333,Baixo Repasse
PONTE BRANCA,MT,710.9365853658536,Alto Repasse
FERNANDOPOLIS,SP,649.1623962468423,Baixo Repasse
IRATI,PR,645.6972641268218,Baixo Repasse
DIAMANTE D'OESTE,PR,686.6535211267606,Alto Repasse
TUPASSI,PR,644.3235294117648,Baixo Repasse
SANTOS DUMONT,MG,645.3151050350117,Baixo Repasse
FLORESTOPOLIS,PR,648.4161922833649,Baixo Repasse
WESTFALIA,RS,638.2608695652174,Baixo Repasse
CACHOEIRINHA,TO,686.042071197411,Alto Repasse
PALMA,MG,647.4311926605504,Baixo Repasse
CAPELA DE SANTANA,RS,698.5042283298097,Alto Repasse
ARAPOEMA,TO,695.8644067796611,Alto Repasse
CRISTINO CASTRO,PI,682.4884732492388,Alto Repasse
SENHORA DOS REMEDIOS,MG,644.8712065136936,Baixo Repasse
GENERAL CARNEIRO,MT,757.3099762470309,Alto Repasse
CHAPADAO DO CEU,GO,692.3794940079894,Alto Repasse
TUBARAO,SC,644.1942038640906,Baixo Repasse
PICOS,PI,639.9901742534736,Baixo Repasse
CANAPI,AL,692.1553348612172,Alto Repasse
JABORA,SC,711.4350649350649,Alto Repasse
GOVERNADOR NEWTON BELLO,MA,695.3491796381994,Alto Repasse
CURUA,PA,733.7055909412597,Alto Repasse
GARRAFAO DO NORTE,PA,699.6424120234605,Alto Repasse
OLHO D'AGUA GRANDE,AL,685.5714285714286,Alto Repasse
JARDIM OLINDA,PR,628.9459459459459,Baixo Repasse
ARAIOSES,MA,690.7189028026237,Alto Repasse
ELDORADO DOS CARAJAS,PA,723.3862891904539,Alto Repasse
MARACAJU,MS,694.9442379182157,Alto Repasse
LIMA CAMPOS,MA,688.2046109510086,Alto Repasse
BOA ESPERANCA DO IGUACU,PR,588.7666666666667,Baixo Repasse
GUARANI D'OESTE,SP,581.5869565217391,Baixo Repasse
LAURO MULLER,SC,627.2860962566845,Baixo Repasse
MURICI,AL,708.2875555555555,Alto Repasse
BOFETE,SP,643.9508867667122,Baixo Repasse
FELIZ NATAL,MT,744.8572621035058,Alto Repasse
CACHOEIRA DA PRATA,MG,633.0258620689655,Baixo Repasse
LAGOA DE VELHOS,RN,681.7833037300178,Alto Repasse
MESQUITA,MG,625.5910020449898,Baixo Repasse
SAO JOSE DO ALEGRE,MG,687.8268551236749,Alto Repasse
TIMOTEO,MG,643.2500578837694,Baixo Repasse
NOVA AMERICA DA COLINA,PR,627.0776699029126,Baixo Repasse
NOVA TEBAS,PR,641.6315789473684,Baixo Repasse
NOVA BRASILANDIA D'OESTE,RO,626.6051930758988,Baixo Repasse
JAU,SP,650.9547728220092,Baixo Repasse
FELIZ,RS,618.9545454545455,Baixo Repasse
SAO FRANCISCO DE PAULA,RS,714.1805993690851,Alto Repasse
SAO CRISTOVAO DO SUL,SC,627.9100346020762,Baixo Repasse
PADRE MARCOS,PI,647.9130685089234,Baixo Repasse
ALCOBACA,BA,681.8496652465003,Alto Repasse
PAUINI,AM,793.8457505518763,Alto Repasse
CAPINOPOLIS,MG,648.8358208955224,Baixo Repasse
SANTANA DO PARAISO,MG,647.7439111747851,Baixo Repasse
JAPARATINGA,AL,692.236861051116,Alto Repasse
SELBACH,RS,607.1970802919708,Baixo Repasse
COLARES,PA,685.1710024280263,Alto Repasse
SANTANA DO DESERTO,MG,619.8823529411765,Baixo Repasse
SAO BENTO DO TOCANTINS,TO,710.3680485338726,Alto Repasse
RIO PRETO,MG,641.9361445783132,Baixo Repasse
TRABIJU,SP,646.6513157894736,Baixo Repasse
ARATACA,BA,650.4111755403268,Baixo Repasse
SAO GONCALO DO PIAUI,PI,682.5785198555957,Alto Repasse
BELAGUA,MA,785.0994862213919,Alto Repasse
SANTA BARBARA DO TUGURIO,MG,625.5327380952381,Baixo Repasse
MACAPA,AP,710.7456830618328,Alto Repasse
PETROLANDIA,PE,681.4750625275857,Alto Repasse
NOVA UNIAO,RO,686.4993270524899,Alto Repasse
ITAIPE,MG,695.8338206627681,Alto Repasse
MATA ROMA,MA,711.1657912765471,Alto Repasse
CABECEIRAS DO PIAUI,PI,646.4181169120928,Baixo Repasse
RIO VERMELHO,MG,686.7538586515028,Alto Repasse
PRESIDENTE BERNARDES,MG,633.6744913928012,Baixo Repasse
AVARE,SP,694.0341121495327,Alto Repasse
SANTA IZABEL DO OESTE,PR,643.1948424068768,Baixo Repasse
POCINHOS,PB,689.0480620155039,Alto Repasse
CAJARI,MA,700.4455189086514,Alto Repasse
CARNEIRINHO,MG,646.3159922928709,Baixo Repasse
SAO PEDRO DA AGUA BRANCA,MA,726.5964912280701,Alto Repasse
LAGOA DOS TRES CANTOS,RS,742.258064516129,Alto Repasse
CRAVOLANDIA,BA,686.0815085158151,Alto Repasse
AMPARO DO SERRA,MG,627.8439803439803,Baixo Repasse
CANAPOLIS,MG,627.2622673434856,Baixo Repasse
SAO JOSE DO GOIABAL,MG,634.3502722323049,Baixo Repasse
CHAPADA DO NORTE,MG,641.0361204013378,Baixo Repasse
BUJARI,AC,711.5106593951413,Alto Repasse
SAO BRAZ DO PIAUI,PI,646.35205364627,Baixo Repasse
VARGEM BONITA,MG,684.5470588235294,Alto Repasse
JATOBA,MA,705.6179271708684,Alto Repasse
IPIRANGA DO NORTE,MT,732.5569985569986,Alto Repasse
AURIFLAMA,SP,629.5450733752621,Baixo Repasse
MARAJA DO SENA,MA,750.4185260311021,Alto Repasse
PRAIA GRANDE,SP,682.8128189550425,Alto Repasse
SANTANA DO CARIRI,CE,681.7278797996661,Alto Repasse
TOCANTINS,MG,644.7514164305949,Baixo Repasse
BANDEIRANTES DO TOCANTINS,TO,683.0471464019851,Alto Repasse
ITATI,RS,707.6559633027523,Alto Repasse
CENTRO DO GUILHERME,MA,725.3614605707272,Alto Repasse
IBITIRAMA,ES,684.2214876033058,Alto Repasse
TAQUARAL,SP,621.2325581395348,Baixo Repasse
TRAJANO DE MORAIS,RJ,649.3012757605495,Baixo Repasse
MIRADOR,MA,687.1507686608632,Alto Repasse
GETULINA,SP,648.7303988995874,Baixo Repasse
ISAIAS COELHO,PI,683.4812324929972,Alto Repasse
SANTANA DA PONTE PENSA,SP,637.0857142857143,Baixo Repasse
CRUZ,CE,680.604170444243,Alto Repasse
CONCEICAO DA BARRA DE MINAS,MG,648.5044444444444,Baixo Repasse
FUNILANDIA,MG,645.6102003642987,Baixo Repasse
AGUA FRIA,BA,648.2943031322262,Baixo Repasse
RIO DO PRADO,MG,649.2051569506726,Baixo Repasse
ITAPORA,MS,694.5548961424332,Alto Repasse
FIRMINOPOLIS,GO,643.3446866485014,Baixo Repasse
MARCO,CE,711.8127253064167,Alto Repasse
CAPAO ALTO,SC,647.76,Baixo Repasse
SAO PEDRO DE ALCANTARA,SC,617.6,Baixo Repasse
VITORIA DO XINGU,PA,708.3054775280899,Alto Repasse
SAO BORJA,RS,690.9195103857567,Alto Repasse
SANTA CRUZ DO ESCALVADO,MG,641.9870609981516,Baixo Repasse
PENAFORTE,CE,700.1526175687667,Alto Repasse
IBIRITE,MG,639.5657644824312,Baixo Repasse
BUJARU,PA,682.6846381093058,Alto Repasse
TUPIRATINS,TO,611.5838150289018,Baixo Repasse
GOVERNADOR LUIZ ROCHA,MA,714.53125,Alto Repasse
OLIVEIRA,MG,642.8752483114819,Baixo Repasse
SANTA ISABEL DO IVAI,PR,632.9795918367347,Baixo Repasse
JERICO,PB,648.5010266940452,Baixo Repasse
VISTA ALEGRE,RS,680.0104166666666,Alto Repasse
FERNANDO FALCAO,MA,767.1460280373832,Alto Repasse
BOA VISTA DO RAMOS,AM,753.2672344956082,Alto Repasse
FRANCISCO BADARO,MG,637.7270220588235,Baixo Repasse
BURITINOPOLIS,GO,682.1259842519685,Alto Repasse
RIBEIRAO CASCALHEIRA,MT,758.5526561043803,Alto Repasse
CAPAO DO LEAO,RS,685.767780350645,Alto Repasse
URAI,PR,642.1826280623608,Baixo Repasse
IGARATINGA,MG,635.6835106382979,Baixo Repasse
PRESIDENTE ALVES,SP,642.5899581589958,Baixo Repasse
TUNTUM,MA,697.6926188068757,Alto Repasse
BURITIRANA,MA,711.9312377210216,Alto Repasse
BRUNOPOLIS,SC,635.8009950248756,Baixo Repasse
ACRELANDIA,AC,692.3078593139384,Alto Repasse
ARCO-IRIS,SP,640.0377358490566,Baixo Repasse
BRASOPOLIS,MG,646.2409867172676,Baixo Repasse
SAO JOAO DO SUL,SC,692.8082191780821,Alto Repasse
CENTRAL DO MARANHAO,MA,682.9391083725988,Alto Repasse
NOVA UNIAO,MG,646.5448877805486,Baixo Repasse
BARAO DE MONTE ALTO,MG,627.5102685624013,Baixo Repasse
VINHEDO,SP,645.108012394865,Baixo Repasse
LUIZIANA,PR,684.4333333333333,Alto Repasse
DOURADO,SP,634.8644763860369,Baixo Repasse
NOVO JARDIM,TO,707.8465473145781,Alto Repasse
DEODAPOLIS,MS,608.0150273224044,Baixo Repasse
SIMPLICIO MENDES,PI,647.5717076983196,Baixo Repasse
NOVA COLINAS,MA,699.0896017699115,Alto Repasse
CUMARU,PE,632.1727055760468,Baixo Repasse
PEDRA PRETA,MT,642.7077713551702,Baixo Repasse
SAO SEBASTIAO DA VARGEM ALEGRE,MG,650.8598484848485,Baixo Repasse
LAGOA DOURADA,MG,694.2555066079295,Alto Repasse
SAO MIGUEL DO IGUACU,PR,697.1580547112462,Alto Repasse
PARANAPUA,SP,682.5570469798657,Alto Repasse
DONA EMMA,SC,693.4821428571429,Alto Repasse
CLAUDIA,MT,703.5759493670886,Alto Repasse
ITAGUATINS,TO,706.0474747474748,Alto Repasse
CURRALINHOS,PI,681.5524861878453,Alto Repasse
AURORA,SC,721.939393939394,Alto Repasse
SALVADOR,BA,645.4865946552196,Baixo Repasse
BOQUEIRAO DO LEAO,RS,684.6929460580913,Alto Repasse
ALVARES FLORENCE,SP,644.5353535353536,Baixo Repasse
MARANHAOZINHO,MA,727.3612852664577,Alto Repasse
PEREIRAS,SP,634.0327380952381,Baixo Repasse
CAXIAS,MA,694.0778259299386,Alto Repasse
FONTE BOA,AM,742.8287822878228,Alto Repasse
SENADOR AMARAL,MG,702.6820987654321,Alto Repasse
SITIO DO MATO,BA,717.8975487115022,Alto Repasse
CORONEL JOAO PESSOA,RN,639.5833333333334,Baixo Repasse
TUPI PAULISTA,SP,631.7881355932203,Baixo Repasse
AREAL,RJ,639.608643457383,Baixo Repasse
VIADUTOS,RS,711.418439716312,Alto Repasse
HERVAL D'OESTE,SC,710.8907284768212,Alto Repasse
RANCHO QUEIMADO,SC,609.5416666666666,Baixo Repasse
LUIZIANIA,SP,696.2402464065708,Alto Repasse
LAGOA DA CONFUSAO,TO,723.449090909091,Alto Repasse
CAMPOS LINDOS,TO,726.2490808823529,Alto Repasse
